iter	Passed	Remaining
0	160	160616
1	167	83485
2	172	57403
3	179	44631
4	190	37942
5	199	33097
6	206	29255
7	213	26450
8	221	24441
9	227	22554
10	234	21073
11	240	19763
12	246	18688
13	254	17957
14	263	17302
15	272	16748
16	279	16187
17	287	15700
18	296	15330
19	305	14950
20	311	14507
21	317	14101
22	323	13723
23	329	13405
24	335	13073
25	344	12904
26	350	12614
27	355	12351
28	361	12093
29	367	11894
30	373	11687
31	380	11504
32	388	11394
33	395	11225
34	400	11042
35	406	10872
36	413	10772
37	419	10607
38	427	10534
39	433	10405
40	460	10767
41	467	10662
42	473	10539
43	482	10487
44	490	10401
45	498	10341
46	507	10280
47	512	10157
48	519	10077
49	527	10023
50	533	9927
51	540	9861
52	548	9796
53	554	9718
54	560	9635
55	574	9682
56	581	9612
57	586	9532
58	592	9442
59	597	9355
60	602	9270
61	607	9195
62	613	9118
63	618	9048
64	624	8979
65	630	8926
66	685	9549
67	733	10052
68	747	10085
69	761	10118
70	774	10137
71	789	10181
72	808	10265
73	836	10472
74	867	10693
75	882	10725
76	892	10701
77	904	10692
78	916	10684
79	925	10639
80	936	10623
81	943	10565
82	953	10534
83	959	10466
84	969	10435
85	975	10363
86	980	10294
87	986	10223
88	992	10157
89	999	10101
90	1005	10045
91	1013	10007
92	1023	9983
93	1031	9937
94	1040	9912
95	1049	9886
96	1054	9820
97	1060	9759
98	1069	9734
99	1075	9677
100	1087	9679
101	1095	9641
102	1110	9670
103	1117	9625
104	1137	9699
105	1155	9746
106	1175	9807
107	1195	9876
108	1216	9946
109	1240	10036
110	1261	10103
111	1278	10133
112	1299	10197
113	1307	10162
114	1321	10167
115	1329	10133
116	1341	10126
117	1350	10093
118	1359	10063
119	1371	10059
120	1378	10011
121	1385	9968
122	1391	9921
123	1397	9873
124	1405	9841
125	1414	9811
126	1420	9765
127	1430	9744
128	1439	9719
129	1447	9686
130	1455	9658
131	1463	9621
132	1469	9580
133	1479	9560
134	1491	9556
135	1505	9566
136	1515	9548
137	1524	9520
138	1531	9485
139	1538	9451
140	1547	9429
141	1553	9388
142	1560	9353
143	1566	9313
144	1574	9285
145	1583	9260
146	1591	9234
147	1599	9210
148	1608	9185
149	1614	9151
150	1625	9137
151	1633	9110
152	1639	9075
153	1648	9053
154	1656	9032
155	1663	9000
156	1671	8975
157	1679	8950
158	1687	8927
159	1696	8907
160	1704	8883
161	1715	8876
162	1724	8853
163	1736	8849
164	1751	8864
165	1760	8846
166	1766	8811
167	1776	8796
168	1784	8773
169	1791	8747
170	1798	8716
171	1804	8687
172	1812	8663
173	1820	8639
174	1826	8609
175	1832	8580
176	1839	8552
177	1845	8524
178	1852	8497
179	1858	8467
180	1868	8453
181	1876	8434
182	1888	8430
183	1893	8399
184	1904	8388
185	1912	8368
186	1920	8347
187	1928	8329
188	1936	8308
189	1941	8278
190	1949	8259
191	1955	8230
192	1962	8204
193	1968	8177
194	1978	8168
195	1986	8148
196	1992	8120
197	1999	8100
198	2005	8073
199	2012	8048
200	2018	8023
201	2024	7996
202	2030	7970
203	2036	7947
204	2044	7927
205	2050	7904
206	2057	7883
207	2064	7861
208	2071	7839
209	2077	7814
210	2084	7793
211	2090	7769
212	2096	7747
213	2102	7723
214	2110	7706
215	2118	7688
216	2127	7675
217	2134	7657
218	2142	7641
219	2149	7621
220	2156	7602
221	2162	7577
222	2169	7560
223	2176	7539
224	2181	7513
225	2189	7499
226	2196	7481
227	2202	7457
228	2206	7429
229	2211	7402
230	2215	7376
231	2220	7349
232	2225	7325
233	2233	7311
234	2238	7287
235	2244	7267
236	2251	7248
237	2257	7228
238	2262	7204
239	2269	7188
240	2275	7167
241	2280	7143
242	2285	7120
243	2290	7095
244	2297	7079
245	2302	7057
246	2308	7037
247	2316	7025
248	2324	7011
249	2330	6990
250	2336	6972
251	2341	6950
252	2349	6937
253	2354	6915
